account_id,employee_id,platform,username,account_status
AD0001,EMP0001,AD,user1.ad,Active
AW0001,EMP0001,AWS,user1.aws,Active
OK0001,EMP0001,Okta,user1@corp.com,Active
SA0001,EMP0001,Salesforce,sf_user1,Active
AD0002,EMP0002,AD,user2.ad,Active
AW0002,EMP0002,AWS,user2.aws,Active
OK0002,EMP0002,Okta,user2@corp.com,Active
SA0002,EMP0002,Salesforce,sf_user2,Active
AD0003,EMP0003,AD,user3.ad,Active
AW0003,EMP0003,AWS,user3.aws,Active
OK0003,EMP0003,Okta,user3@corp.com,Active
SA0003,EMP0003,Salesforce,sf_user3,Active
AD0004,EMP0004,AD,user4.ad,Active
AW0004,EMP0004,AWS,user4.aws,Active
OK0004,EMP0004,Okta,user4@corp.com,Active
SA0004,EMP0004,Salesforce,sf_user4,Active
AD0005,EMP0005,AD,user5.ad,Active
AW0005,EMP0005,AWS,user5.aws,Active
OK0005,EMP0005,Okta,user5@corp.com,Active
SA0005,EMP0005,Salesforce,sf_user5,Active
AD0006,EMP0006,AD,user6.ad,Active
AW0006,EMP0006,AWS,user6.aws,Active
OK0006,EMP0006,Okta,user6@corp.com,Active
SA0006,EMP0006,Salesforce,sf_user6,Active
AD0007,EMP0007,AD,user7.ad,Active
AW0007,EMP0007,AWS,user7.aws,Active
OK0007,EMP0007,Okta,user7@corp.com,Active
SA0007,EMP0007,Salesforce,sf_user7,Active
AD0008,EMP0008,AD,user8.ad,Active
AW0008,EMP0008,AWS,user8.aws,Active
OK0008,EMP0008,Okta,user8@corp.com,Active
SA0008,EMP0008,Salesforce,sf_user8,Active
AD0009,EMP0009,AD,user9.ad,Active
AW0009,EMP0009,AWS,user9.aws,Active
OK0009,EMP0009,Okta,user9@corp.com,Active
SA0009,EMP0009,Salesforce,sf_user9,Active
AD0010,EMP0010,AD,user10.ad,Active
AW0010,EMP0010,AWS,user10.aws,Active
OK0010,EMP0010,Okta,user10@corp.com,Active
SA0010,EMP0010,Salesforce,sf_user10,Active
AD0011,EMP0011,AD,user11.ad,Active
AW0011,EMP0011,AWS,user11.aws,Active
OK0011,EMP0011,Okta,user11@corp.com,Active
SA0011,EMP0011,Salesforce,sf_user11,Disabled
AD0012,EMP0012,AD,user12.ad,Active
