account_id,employee_id,platform,username,account_status
AD0001,EMP0001,AD,user1.ad,Disabled
AWS0001,EMP0001,AWS,u1_aws,Active
OK0001,EMP0001,Okta,user1@corp.com,Active
SF0001,EMP0001,Salesforce,sf_user1,Active
GH0001,EMP0001,GitHub,gh1,Active
AD0002,EMP0002,AD,user2.ad,Disabled
AWS0002,EMP0002,AWS,u2_aws,Active
OK0002,EMP0002,Okta,user2@corp.com,Active
SF0002,EMP0002,Salesforce,sf_user2,Active
GH0002,EMP0002,GitHub,gh2,Active
AD0003,EMP0003,AD,user3.ad,Disabled
AWS0003,EMP0003,AWS,u3_aws,Active
OK0003,EMP0003,Okta,user3@corp.com,Active
SF0003,EMP0003,Salesforce,sf_user3,Active
GH0003,EMP0003,GitHub,gh3,Active
AD0004,EMP0004,AD,user4.ad,Disabled
AWS0004,EMP0004,AWS,u4_aws,Active
OK0004,EMP0004,Okta,user4@corp.com,Active
SF0004,EMP0004,Salesforce,sf_user4,Active
GH0004,EMP0004,GitHub,gh4,Active
AD0005,EMP0005,AD,user5.ad,Disabled
AWS0005,EMP0005,AWS,u5_aws,Active
OK0005,EMP0005,Okta,user5@corp.com,Active
SF0005,EMP0005,Salesforce,sf_user5,Active
GH0005,EMP0005,GitHub,gh5,Active
AD0006,EMP0006,AD,user6.ad,Disabled
AWS0006,EMP0006,AWS,u6_aws,Active
OK0006,EMP0006,Okta,user6@corp.com,Active
SF0006,EMP0006,Salesforce,sf_user6,Active
GH0006,EMP0006,GitHub,gh6,Active
AD0007,EMP0007,AD,user7.ad,Disabled
AWS0007,EMP0007,AWS,u7_aws,Active
OK0007,EMP0007,Okta,user7@corp.com,Active
SF0007,EMP0007,Salesforce,sf_user7,Active
GH0007,EMP0007,GitHub,gh7,Active
AD0008,EMP0008,AD,user8.ad,Disabled
AWS0008,EMP0008,AWS,u8_aws,Active
OK0008,EMP0008,Okta,user8@corp.com,Active
SF0008,EMP0008,Salesforce,sf_user8,Active
GH0008,EMP0008,GitHub,gh8,Active
AD0009,EMP0009,AD,user9.ad,Disabled
AWS0009,EMP0009,AWS,u9_aws,Active
OK0009,EMP0009,Okta,user9@corp.com,Active
SF0009,EMP0009,Salesforce,sf_user9,Active
GH0009,EMP0009,GitHub,gh9,Active
AD0010,EMP0010,AD,user10.ad,Disabled
AWS0010,EMP0010,AWS,u10_aws,Active
OK0010,EMP0010,Okta,user10@corp.com,Active
SF0010,EMP0010,Salesforce,sf_user10,Active
